Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,FirstAuthor
"Faseeh, Muhammad; Khan, Murad Ali; Iqbal, Naeem; Qayyum, Faiza; Mehmood, Asif; Kim, Jungsuk;",Enhancing user experience on Q&A platforms: measuring text similarity based on hybrid CNN-LSTM model for efficient duplicate question detection,IEEE Access,12,,34512-34526,2024,IEEE,Yes
"Khan, Salabat; Nosheen, Fariha; Naqvi, Syed Shehryar Ali; Jamil, Harun; Faseeh, Muhammad; Khan, Murad Ali; Kim, Do-Hyeun;",Bilevel hyperparameter optimization and neural architecture search for enhanced breast cancer detection in smart hospitals interconnected with decentralized federated learning environment,IEEE Access,12,,63618-63628,2024,IEEE,No
"Naqvi, SSA; Jamil, H; Faseeh, M; Iqbal, N; Khan, S; Kim, DH;",Development strategies of integrated electronic control units in IoEVs for mobility energy efficiency: A comprehensive review,Internet of Things,101085,,,2024,Elsevier,No
"Ayub, Hina; Khan, Murad-Ali; Shehryar Ali Naqvi, Syed; Faseeh, Muhammad; Kim, Jungsuk; Mehmood, Asif; Kim, Young-Jin;",Unraveling the potential of attentive Bi-LSTM for accurate obesity prognosis: Advancing public health towards sustainable cities,Bioengineering,11,6,533,2024,MDPI,No
"Jamil, Harun; Naqvi, Syed Shehryar Ali; Iqbal, Naeem; Khan, Murad Ali; Qayyum, Faiza; Muhammad, Faseeh; Khan, Salabat; Kim, Do-Hyeun;",Analysis on the driving and braking control logic algorithm for mobility energy efficiency in electric vehicle,Smart Grids and Sustainable Energy,9,1,12,2024,Springer,No
"Naqvi, Syed Shehryar Ali; Jamil, Harun; Faseeh, Muhammad; Iqbal, Naeem; Khan, Salabat; Kim, Do-Hyeun;",A comprehensive review on development strategies of integrated electronic control units in IoEVs for energy management,Internet of Things,25,,101085,2024,Elsevier,No
"Faseeh, Muhammad; Bibi, Misbah; Khan, Murad Ali; Rizwan, Atif; Ahmad, Rashid; Kim, Do Hyeun;",Geo-temporal selective approach for dynamic depth estimation in outdoor object detection and distance measurement,IEEE Access,12,,155522-155533,2024,IEEE,Yes
"Faseeh, Muhammad; Jaleel, Abdul; Iqbal, Naeem; Ghani, Anwar; Abdusalomov, Akmalbek; Mehmood, Asif; Cho, Young-Im;",Hybrid approach to automated essay scoring: Integrating deep learning embeddings with handcrafted linguistic features for improved accuracy,Mathematics,12,21,3416,2024,MDPI,Yes
"Faseeh, Muhammad; Bibi, Misbah; Khan, Murad Ali; Kim, Do-Hyeun;",Deep learning assisted real-time object recognition and depth estimation for enhancing emergency response in adaptive environment,Results in Engineering,24,,103482,2024,Elsevier,Yes
"Faseeh, Muhammad; Bibi, Misbah; Khan, Murad Ali;",Real-time long-range object tracking based on ensembled model,IEEE Access,13,,2679-2693,2024,IEEE,Yes
"Bibi, Misbah; Khan, Anam Nawaz; Faseeh, Muhammad; Khan, Qazi Waqas; Ahmad, Rashid;",A synthetic data generation approach with dynamic camera poses for long-range object detection in AI applications,IEEE Access,12,,194505-194520,2024,IEEE,No
"Khan, Murad Ali; Naqvi, Syed Shehryar Ali; Faseeh, Muhammad; Kim, Do-Hyeun;",Transformer-driven inverse learning for AI-powered ceramic material innovation with advanced data preprocessing,IEEE Access,13,,7574-7589,2024,IEEE,No
"Bibi, Misbah; Faseeh, Muhammad; Khan, Anam Nawaz; Rizwan, Atif; Khan, Qazi Waqas; Ahmad, Rashid; Kim, Do-Hyeun;",An auto-annotation approach for object detection and depth-based distance estimation in security and surveillance systems,IEEE Access,13,,45240-45251,2025,IEEE,No
"Sattar, Asma; Sarwar, Amna; Gillani, Saira; Bukhari, Maryam; Rho, Seungmin; Faseeh, Muhammad;",A novel rms-driven deep reinforcement learning for optimized portfolio management in stock trading,IEEE Access,,,,2025,IEEE,No
"Faseeh, Muhammad; Amin, Tahira; Iqbal, Naeem; Hussain, Hamad Shahid; Ahmad, Salman; Afzaal, Muhammad;",A robust approach to text similarity detection with LSTM networks based on embedding and attention synergy,Expert Systems with Applications,296,,128904,2026,Elsevier,Yes
"Zhang, Lihong; Faseeh, Muhammad; Naqvi, Syed Shehryar Ali; Hu, Liang; Ghani, Anwar;",Enhancing sarcasm detection on social media: A comprehensive study using LLMs and BERT with multi-headed attention on SARC,PLoS One,20,11,e0334120,2025,PLOS ONE,No
"Naqvi, Syed Shehryar Ali; Jamil, Harun; Iqbal, Naeem; Faseeh, Muhammad; Khan, Murad Ali; Khan, Salabat; Kim, Do Hyeun;",Explainable fault classification mechanism using solar data based on ensemble paradigm for efficient hydrogen energy production,International Journal of Hydrogen Energy,197,,152606,2026,Elsevier,No
"Khan, Murad Ali; Song, Hyejeong; Shehryar Ali Naqvi, Syed; Faseeh, Muhammad; Ko, Hyunseok; Kim, Do-Hyeun;",Toward efficient dielectric material discovery: a comparative evaluation of Transformer and AutoML-based inverse learning,Journal of Asian Ceramic Societies,14,1,1-19,2026,Taylor & Francis,No
"Khan, Murad Ali; Naqvi, Syed Shehryar Ali; Faseeh, Muhammad; Kim, Do-Hyeun;",Cross-material inverse learning and knowledge transfer for property-driven design of advanced ceramics,Journal of Alloys and Compounds,,,187165,2026,Elsevier,No
"Faseeh, Muhammad; Song, Hyejeong; Khan, Murad Ali; Naqvi, Syed Shehryar Ali; Khalid, Saman; Ko, Hyunseok; Kim, Do-Hyeun;",Processing–structure–property prediction in polycrystalline BaTiO3 ceramics using experimental and computational data fusion,Materials Today Communications,,,115004,2026,Elsevier,Yes
"Khan, Murad Ali; Iqbal, Naeem; Naqvi, Syed Shehryar Ali; Faseeh, Muhammad; Kim, Do-Hyeun;",RES-AD: An AutoML-Driven Robust Ensemble Framework for Real-Time Anomaly Detection and Energy Forecasting in Smart Grids,CAAI Transactions on Intelligence Technology,,,,2026,Wiley,No
"Faseeh, Muhammad; Bibi, Misbah; Khan, Murad Ali; Naqvi, Syed Shehryar Ali; Ejaz, Adnan Muhammad; Kim, Do-Hyeun;",Enhanced Monocular Depth Estimation Using ResNet Backbone and Multiscale Feature Decoding for Precise Object Distance Measurement,Advanced Intelligent Systems,,,,2026,Wiley,Yes
"Khalid, Saman; Faseeh, Muhammad (Equal Contribution); Song, Hyejeong; Khan, Murad Ali; Naqvi, Syed Shehryar Ali; Ko, Hyunseok; Kim, Do-Hyeun;",Multi-Model Machine Learning Framework for Predicting Material Properties of BaTiO3-Based Ferroelectric Ceramics,Materials & Design,,,,2026,Elsevier,Equal
